Site,Event,Depth,Accuracy,TPR,FPR,F1,G
Rikuzentakata,FUJI2011_42,0.1m-1m,0.911,0.9922861150070126,0.11164304864036767,0.2007046297008158,0.678
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.057291666666666664,0.04801734820322181,0.052246123674695104,0.558
Rikuzentakata,FUJI2011_42,2m-5m,0.815,0.1534526854219949,0.09734060688714627,0.11911943409576493,0.42
Rikuzentakata,FUJI2011_42,5m-10m,0.818,0.5579288025889968,0.1038604742308446,0.1751214534704989,0.057
Rikuzentakata,FUJI2011_42,10m-15m,0.908,0.8009618941916389,0.01850443599493029,0.03617317163494175,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0012033694344163659,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.911,0.9922861150070126,0.11068556108770586,0.19915605772937212,0.664
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.057291666666666664,0.04863692688971499,0.05261073539267654,0.55
Rikuzentakata,FUJI2011_42,2m-5m,0.815,0.1547314578005115,0.09665871121718377,0.11898749544737161,0.414
Rikuzentakata,FUJI2011_42,5m-10m,0.819,0.5598705501618123,0.10229276895943562,0.1729806142415074,0.056
Rikuzentakata,FUJI2011_42,10m-15m,0.909,0.8042915279319275,0.01875792141951838,0.03666082831649965,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.00105294825511432,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.911,0.9922861150070126,0.11164304864036767,0.2007046297008158,0.671
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.052083333333333336,0.04755266418835192,0.04971498898821091,0.559
Rikuzentakata,FUJI2011_42,2m-5m,0.814,0.15728900255754474,0.09819297647459939,0.12090618200435171,0.417
Rikuzentakata,FUJI2011_42,5m-10m,0.817,0.5546925566343042,0.10366451107191849,0.17468311802004247,0.057
Rikuzentakata,FUJI2011_42,10m-15m,0.908,0.8005919348871624,0.01875792141951838,0.03665696768754317,0.009
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.0015042117930204573,,
