LAT,LON,X,Y,L,W,D,SLIP,RAKE,STRIKE,DIP
39.5207,144.2537,121.7751,157.4784,50,50,0,14.73,81,193,14
39.0823,144.125,110.5275,108.7599,50,50,0,10.07,81,193,14
38.6438,143.9964,99.28,60.0414,50,50,0,6.6,81,193,14
38.2054,143.8678,88.0324,11.3228,50,50,0,28.77,81,193,14
37.767,143.7391,76.7849,-37.3957,50,50,0,34.73,81,193,14
37.3285,143.6105,65.5373,-86.1142,50,50,0,9.19,81,193,14
39.6189,143.7131,74.5037,168.3918,50,50,12.0961,2.01,81,193,14
39.1805,143.5844,63.2562,119.6733,50,50,12.0961,4.08,81,193,14
38.742,143.4558,52.0086,70.9548,50,50,12.0961,6.45,81,193,14
38.3036,143.3272,40.7611,22.2363,50,50,12.0961,25.71,81,193,14
37.8652,143.1985,29.5135,-26.4822,50,50,12.0961,37.76,81,193,14
37.4267,143.0699,18.266,-75.2007,50,50,12.0961,14.92,81,193,14
39.7171,143.1724,27.2324,179.3053,50,50,24.1922,0.44,81,193,14
39.2787,143.0438,15.9848,130.5868,50,50,24.1922,0.27,81,193,14
38.8403,142.9152,4.7373,81.8683,50,50,24.1922,2.31,81,193,14
38.4018,142.7865,-6.5103,33.1498,50,50,24.1922,21.05,81,193,14
37.9634,142.6579,-17.7578,-15.5688,50,50,24.1922,21.89,81,193,14
37.525,142.5293,-29.0054,-64.2873,50,50,24.1922,12.08,81,193,14
39.8153,142.6318,-20.039,190.2187,50,50,36.2883,1.07,81,193,14
39.3769,142.5032,-31.2865,141.5002,50,50,36.2883,0,81,193,14
38.9385,142.3746,-42.5341,92.7817,50,50,36.2883,0,81,193,14
38.5,142.2459,-53.7816,44.0632,50,50,36.2883,13.25,81,193,14
38.0616,142.1173,-65.0292,-4.6553,50,50,36.2883,10.63,81,193,14
37.6232,141.9887,-76.2767,-53.3738,50,50,36.2883,0,81,193,14
36.9168,143.3285,40.8751,-131.8628,50,50,0,0,81,193,14
37.015,142.7878,-6.3963,-120.9493,50,50,12.0961,0,81,193,14
37.1133,142.2472,-53.6676,-110.0359,50,50,24.1922,1.73,81,193,14
37.2115,141.7066,-100.939,-99.1224,50,50,36.2883,1.92,81,193,14
36.5118,142.9988,12.0463,-176.8659,50,50,0,0,81,193,14
36.61,142.4582,-35.2251,-165.9524,50,50,12.0961,0,81,193,14
36.7083,141.9175,-82.4964,-155.039,50,50,24.1922,4.77,81,193,14
36.8065,141.3769,-129.7678,-144.1255,50,50,36.2883,2.91,81,193,14
36.1068,142.6692,-16.7713,-221.869,50,50,0,1.22,81,193,14
36.2051,142.1286,-64.0427,-210.9555,50,50,12.0961,0,81,193,14
36.3033,141.588,-111.314,-200.0421,50,50,24.1922,1.73,81,193,14
36.4015,141.0474,-158.5854,-189.1286,50,50,36.2883,0,81,193,14
35.6868,142.4335,-37.3802,-268.5389,50,50,0,3.19,81,193,14
35.7851,141.8929,-84.6516,-257.6254,50,50,12.0961,2.64,81,193,14
35.8833,141.3523,-131.9229,-246.712,50,50,24.1922,0,81,193,14
35.9815,140.8117,-179.1943,-235.7985,50,50,36.2883,1.92,81,193,14
