LAT,LON,X,Y,D,SLIP,RAKE,STRIKE,DIP,L,W
38.9172,144.4065,135.1385,90.3669,1,5.45,95,202,5,50,40
38.5,144.1923,116.4082,44.0077,1,27.9,86,202,5,50,40
38.0828,143.9781,97.6779,-2.3515,1,36.51,82,202,5,50,40
37.6656,143.7639,78.9475,-48.7107,1,31.81,83,202,5,50,40
37.2484,143.5497,60.2172,-95.0699,1,20.09,94,202,5,50,40
36.8312,143.3355,41.4869,-141.4291,1,7.96,94,202,5,50,40
36.414,143.1213,22.7565,-187.7883,1,1.67,67,202,5,50,40
35.9968,142.907,4.0262,-234.1475,1,1.82,46,202,5,50,40
35.5796,142.6928,-14.7041,-280.5067,1,2.16,59,202,5,50,40
39.0515,143.9727,97.2029,105.2882,4.49,7.69,133,202,10,50,40
38.6343,143.7585,78.4726,58.929,4.49,21.65,95,202,10,50,40
38.2171,143.5442,59.7423,12.5698,4.49,36.39,79,202,10,50,40
37.7999,143.33,41.0119,-33.7894,4.49,42.02,79,202,10,50,40
37.3827,143.1158,22.2816,-80.1486,4.49,25.63,87,202,10,50,40
36.9655,142.9016,3.5513,-126.5078,4.49,10.02,83,202,10,50,40
36.5483,142.6874,-15.1791,-172.867,4.49,2.62,53,202,10,50,40
36.1311,142.4732,-33.9094,-219.2262,4.49,1.34,45,202,10,50,40
35.7139,142.259,-52.6397,-265.5854,4.49,1.16,50,202,10,50,40
39.1848,143.5413,59.4891,120.0981,11.43,4.26,98,202,15,50,40
38.7676,143.3271,40.7588,73.7389,11.43,15.94,91,202,15,50,40
38.3504,143.1129,22.0285,27.3797,11.43,22.95,87,202,15,50,40
37.9332,142.8987,3.2981,-18.9795,11.43,27.55,90,202,15,50,40
37.516,142.6845,-15.4322,-65.3387,11.43,18.44,90,202,15,50,40
37.0988,142.4703,-34.1625,-111.6979,11.43,7.87,71,202,15,50,40
36.6816,142.2561,-52.8929,-158.0571,11.43,2.22,66,202,15,50,40
36.2644,142.0419,-71.6232,-204.4163,11.43,0.76,74,202,15,50,40
35.8472,141.8277,-90.3535,-250.7755,11.43,1.19,135,202,15,50,40
39.3152,143.1183,22.4946,134.5938,21.78,0,45,202,18,50,40
38.898,142.9041,3.7643,88.2346,21.78,5.09,70,202,18,50,40
38.4808,142.6898,-14.966,41.8754,21.78,9.9,90,202,18,50,40
38.0636,142.4756,-33.6964,-4.4838,21.78,13.84,100,202,18,50,40
37.6464,142.2614,-52.4267,-50.843,21.78,8.45,106,202,18,50,40
37.2293,142.0472,-71.157,-97.2022,21.78,2.61,98,202,18,50,40
36.8121,141.833,-89.8874,-143.5614,21.78,3.45,135,202,18,50,40
36.3949,141.6188,-108.6177,-189.9206,21.78,1.38,95,202,18,50,40
35.9777,141.4046,-127.348,-236.2798,21.78,0.47,135,202,18,50,40
39.4435,142.7016,-13.9401,148.8471,34.15,0,45,202,20,50,40
39.0263,142.4874,-32.6704,102.4879,34.15,1.37,45,202,20,50,40
38.6091,142.2732,-51.4007,56.1287,34.15,2.25,103,202,20,50,40
38.1919,142.0589,-70.1311,9.7695,34.15,10.18,93,202,20,50,40
37.7747,141.8447,-88.8614,-36.5897,34.15,11.45,82,202,20,50,40
37.3575,141.6305,-107.5917,-82.9489,34.15,6.22,91,202,20,50,40
36.9403,141.4163,-126.3221,-129.3081,34.15,3.03,135,202,20,50,40
36.5231,141.2021,-145.0524,-175.6673,34.15,0.05,135,202,20,50,40
36.1059,140.9879,-163.7827,-222.0265,34.15,0,45,202,20,50,40
