LAT,LON,X,Y,L,W,D,SLIP,RAKE,STRIKE,DIP
40.4607,144.6645,192.4344,234.4419,25,20,5.7749,1.6537,114.6523,194,10.21
40.2428,144.593,186.2044,210.2306,25,20,5.7749,0.0005,113.0314,194,10.21
40.0249,144.5215,179.9745,186.0193,25,20,5.7749,0.2767,105.3945,194,10.21
39.8071,144.45,173.7446,161.808,25,20,5.7749,0.8356,83.4077,194,10.21
39.5892,144.3785,167.5147,137.5967,25,20,5.7749,0.9446,72.5113,194,10.21
39.3713,144.307,161.2847,113.3853,25,20,5.7749,2.6525,54.1313,194,10.21
39.1534,144.2355,155.0548,89.174,25,20,5.7749,1.1565,117.8378,194,10.21
38.9355,144.164,148.8249,64.9627,25,20,5.7749,5.0771,116.2925,194,10.21
38.7176,144.0925,142.595,40.7514,25,20,5.7749,11.6231,119.7634,194,10.21
38.4997,144.0211,136.3651,16.54,25,20,5.7749,15.8505,109.549,194,10.21
38.2819,143.9496,130.1351,-7.6713,25,20,5.7749,15.1231,94.3019,194,10.21
38.064,143.8781,123.9052,-31.8826,25,20,5.7749,11.43,78.6235,194,10.21
37.8461,143.8066,117.6753,-56.0939,25,20,5.7749,17.7806,78.5677,194,10.21
37.6282,143.7351,111.4454,-80.3052,25,20,5.7749,16.3381,90.9383,194,10.21
37.4103,143.6636,105.2155,-104.5166,25,20,5.7749,12.6904,87.1519,194,10.21
37.1924,143.5921,98.9855,-128.7279,25,20,5.7749,6.6957,91.4689,194,10.21
36.9746,143.5206,92.7556,-152.9392,25,20,5.7749,5.6856,114.4567,194,10.21
36.7567,143.4491,86.5257,-177.1505,25,20,5.7749,8.1511,127.3966,194,10.21
36.5388,143.3776,80.2958,-201.3618,25,20,5.7749,6.2191,129.9171,194,10.21
36.3209,143.3061,74.0659,-225.5732,25,20,5.7749,2.7162,125.2037,194,10.21
36.103,143.2347,67.8359,-249.7845,25,20,5.7749,5.4943,114.2295,194,10.21
35.8851,143.1632,61.606,-273.9958,25,20,5.7749,1.7474,85.5994,194,10.21
35.6673,143.0917,55.3761,-298.2071,25,20,5.7749,0.4506,65.7874,194,10.21
