LAT,LON,X,Y,D,SLIP,RAKE,STRIKE,DIP,L,W
40.5464,143.8413,128.2659,247.3951,13.65,0.5735,93.497,198,15,25,16.6
40.3324,143.7527,120.5405,223.6186,13.65,1.4103,93.497,198,15,25,16.6
40.1184,143.664,112.815,199.8422,13.65,0.3499,93.497,198,15,25,16.6
39.9045,143.5754,105.0896,176.0658,13.65,2.1991,93.497,198,15,25,16.6
39.6905,143.4868,97.3642,152.2894,13.65,5.2137,93.497,198,15,25,16.6
39.4765,143.3982,89.6388,128.513,13.65,5.954,93.497,198,15,25,16.6
39.2626,143.3096,81.9133,104.7366,13.65,7.5851,93.497,198,15,25,16.6
39.0486,143.221,74.1879,80.9602,13.65,20.7219,93.497,198,15,25,16.6
38.8346,143.1324,66.4625,57.1838,13.65,29.5423,93.497,198,15,25,16.6
38.6206,143.0437,58.7371,33.4073,13.65,29.6383,93.497,198,15,25,16.6
38.4067,142.9551,51.0116,9.6309,13.65,27.694,93.497,198,15,25,16.6
38.1927,142.8665,43.2862,-14.1455,13.65,24.2976,93.497,198,15,25,16.6
37.9787,142.7779,35.5608,-37.9219,13.65,18.1503,93.497,198,15,25,16.6
37.7648,142.6893,27.8354,-61.6983,13.65,21.5619,93.497,198,15,25,16.6
37.5508,142.6007,20.11,-85.4747,13.65,20.3928,93.497,198,15,25,16.6
37.3368,142.5121,12.3845,-109.2511,13.65,12.1868,93.497,198,15,25,16.6
37.1228,142.4234,4.6591,-133.0276,13.65,8.9445,93.497,198,15,25,16.6
36.9089,142.3348,-3.0663,-156.804,13.65,3.4858,93.497,198,15,25,16.6
36.6949,142.2462,-10.7917,-180.5804,13.65,3.6373,93.497,198,15,25,16.6
36.4809,142.1576,-18.5172,-204.3568,13.65,2.7321,93.497,198,15,25,16.6
36.267,142.069,-26.2426,-228.1332,13.65,3.1085,93.497,198,15,25,16.6
36.053,141.9804,-33.968,-251.9096,13.65,6.4274,93.497,198,15,25,16.6
35.839,141.8918,-41.6934,-275.686,13.65,0.7015,93.497,198,15,25,16.6
35.6251,141.8031,-49.4189,-299.4624,13.65,0.9895,93.497,198,15,25,16.6
35.4111,141.7145,-57.1443,-323.2389,13.65,0.613,93.497,198,15,25,16.6
40.591,143.6664,113.0163,252.3499,17.9464,0.1827,93.497,198,15,25,16.6
40.377,143.5777,105.2909,228.5735,17.9464,0.2922,93.497,198,15,25,16.6
40.163,143.4891,97.5655,204.7971,17.9464,0.9826,93.497,198,15,25,16.6
39.9491,143.4005,89.84,181.0207,17.9464,2.2863,93.497,198,15,25,16.6
39.7351,143.3119,82.1146,157.2443,17.9464,5.0164,93.497,198,15,25,16.6
39.5211,143.2233,74.3892,133.4679,17.9464,3.9287,93.497,198,15,25,16.6
39.3071,143.1347,66.6638,109.6915,17.9464,7.1748,93.497,198,15,25,16.6
39.0932,143.0461,58.9383,85.9151,17.9464,13.6282,93.497,198,15,25,16.6
38.8792,142.9574,51.2129,62.1386,17.9464,14.354,93.497,198,15,25,16.6
38.6652,142.8688,43.4875,38.3622,17.9464,12.039,93.497,198,15,25,16.6
38.4513,142.7802,35.7621,14.5858,17.9464,7.2715,93.497,198,15,25,16.6
38.2373,142.6916,28.0366,-9.1906,17.9464,9.0202,93.497,198,15,25,16.6
38.0233,142.603,20.3112,-32.967,17.9464,15.2734,93.497,198,15,25,16.6
37.8094,142.5144,12.5858,-56.7434,17.9464,14.4191,93.497,198,15,25,16.6
37.5954,142.4258,4.8604,-80.5198,17.9464,11.0538,93.497,198,15,25,16.6
37.3814,142.3371,-2.8651,-104.2962,17.9464,6.5988,93.497,198,15,25,16.6
37.1674,142.2485,-10.5905,-128.0727,17.9464,0.0465,93.497,198,15,25,16.6
36.9535,142.1599,-18.3159,-151.8491,17.9464,1.4908,93.497,198,15,25,16.6
36.7395,142.0713,-26.0413,-175.6255,17.9464,1.791,93.497,198,15,25,16.6
36.5255,141.9827,-33.7668,-199.4019,17.9464,1.3287,93.497,198,15,25,16.6
36.3116,141.8941,-41.4922,-223.1783,17.9464,4.2255,93.497,198,15,25,16.6
36.0976,141.8055,-49.2176,-246.9547,17.9464,2.965,93.497,198,15,25,16.6
35.8836,141.7168,-56.943,-270.7311,17.9464,1.7316,93.497,198,15,25,16.6
35.6696,141.6282,-64.6685,-294.5075,17.9464,3.2255,93.497,198,15,25,16.6
35.4557,141.5396,-72.3939,-318.284,17.9464,0.1891,93.497,198,15,25,16.6
40.6356,143.4914,97.7667,257.3048,22.2428,0.1765,93.497,198,15,25,16.6
40.4216,143.4028,90.0413,233.5284,22.2428,0.7307,93.497,198,15,25,16.6
40.2076,143.3142,82.3159,209.752,22.2428,2.6615,93.497,198,15,25,16.6
39.9936,143.2256,74.5904,185.9756,22.2428,7.1753,93.497,198,15,25,16.6
39.7797,143.137,66.865,162.1992,22.2428,3.0447,93.497,198,15,25,16.6
39.5657,143.0484,59.1396,138.4228,22.2428,7.0952,93.497,198,15,25,16.6
39.3517,142.9597,51.4142,114.6464,22.2428,8.8606,93.497,198,15,25,16.6
39.1378,142.8711,43.6887,90.8699,22.2428,11.0088,93.497,198,15,25,16.6
38.9238,142.7825,35.9633,67.0935,22.2428,9.6309,93.497,198,15,25,16.6
38.7098,142.6939,28.2379,43.3171,22.2428,8.0865,93.497,198,15,25,16.6
38.4959,142.6053,20.5125,19.5407,22.2428,3.3485,93.497,198,15,25,16.6
38.2819,142.5167,12.787,-4.2357,22.2428,6.6222,93.497,198,15,25,16.6
38.0679,142.4281,5.0616,-28.0121,22.2428,13.6538,93.497,198,15,25,16.6
37.8539,142.3394,-2.6638,-51.7885,22.2428,12.3849,93.497,198,15,25,16.6
37.64,142.2508,-10.3892,-75.5649,22.2428,6.6134,93.497,198,15,25,16.6
37.426,142.1622,-18.1147,-99.3414,22.2428,4.1299,93.497,198,15,25,16.6
37.212,142.0736,-25.8401,-123.1178,22.2428,1.0433,93.497,198,15,25,16.6
36.9981,141.985,-33.5655,-146.8942,22.2428,1.408,93.497,198,15,25,16.6
36.7841,141.8964,-41.2909,-170.6706,22.2428,3.5221,93.497,198,15,25,16.6
36.5701,141.8078,-49.0164,-194.447,22.2428,0.3421,93.497,198,15,25,16.6
36.3561,141.7191,-56.7418,-218.2234,22.2428,2.508,93.497,198,15,25,16.6
36.1422,141.6305,-64.4672,-241.9998,22.2428,0.7471,93.497,198,15,25,16.6
35.9282,141.5419,-72.1926,-265.7762,22.2428,0.4775,93.497,198,15,25,16.6
35.7142,141.4533,-79.9181,-289.5527,22.2428,1.7134,93.497,198,15,25,16.6
35.5003,141.3647,-87.6435,-313.3291,22.2428,0.1914,93.497,198,15,25,16.6
40.6801,143.3165,82.5171,262.2597,26.5392,0.6716,93.497,198,15,25,16.6
40.4662,143.2279,74.7917,238.4833,26.5392,2.2717,93.497,198,15,25,16.6
40.2522,143.1393,67.0663,214.7069,26.5392,2.9823,93.497,198,15,25,16.6
40.0382,143.0507,59.3409,190.9305,26.5392,4.1314,93.497,198,15,25,16.6
39.8243,142.9621,51.6154,167.1541,26.5392,7.6743,93.497,198,15,25,16.6
39.6103,142.8734,43.89,143.3777,26.5392,7.6793,93.497,198,15,25,16.6
39.3963,142.7848,36.1646,119.6013,26.5392,12.3327,93.497,198,15,25,16.6
39.1824,142.6962,28.4392,95.8248,26.5392,14.1899,93.497,198,15,25,16.6
38.9684,142.6076,20.7137,72.0484,26.5392,14.6052,93.497,198,15,25,16.6
38.7544,142.519,12.9883,48.272,26.5392,7.3625,93.497,198,15,25,16.6
38.5404,142.4304,5.2629,24.4956,26.5392,4.4308,93.497,198,15,25,16.6
38.3265,142.3418,-2.4625,0.7192,26.5392,4.6725,93.497,198,15,25,16.6
38.1125,142.2531,-10.188,-23.0572,26.5392,8.3842,93.497,198,15,25,16.6
37.8985,142.1645,-17.9134,-46.8336,26.5392,6.5702,93.497,198,15,25,16.6
37.6846,142.0759,-25.6388,-70.61,26.5392,6.4668,93.497,198,15,25,16.6
37.4706,141.9873,-33.3642,-94.3865,26.5392,3.6233,93.497,198,15,25,16.6
37.2566,141.8987,-41.0897,-118.1629,26.5392,2.2513,93.497,198,15,25,16.6
37.0426,141.8101,-48.8151,-141.9393,26.5392,1.6616,93.497,198,15,25,16.6
36.8287,141.7215,-56.5405,-165.7157,26.5392,0.6121,93.497,198,15,25,16.6
36.6147,141.6328,-64.2659,-189.4921,26.5392,0.6856,93.497,198,15,25,16.6
36.4007,141.5442,-71.9914,-213.2685,26.5392,6.0664,93.497,198,15,25,16.6
36.1868,141.4556,-79.7168,-237.0449,26.5392,3.8198,93.497,198,15,25,16.6
35.9728,141.367,-87.4422,-260.8214,26.5392,5.1278,93.497,198,15,25,16.6
35.7588,141.2784,-95.1676,-284.5978,26.5392,1.6023,93.497,198,15,25,16.6
35.5449,141.1898,-102.8931,-308.3742,26.5392,0.4584,93.497,198,15,25,16.6
40.7247,143.1416,67.2675,267.2146,30.8356,0.6065,93.497,198,15,25,16.6
40.5108,143.053,59.5421,243.4382,30.8356,3.3281,93.497,198,15,25,16.6
40.2968,142.9644,51.8167,219.6618,30.8356,5.0089,93.497,198,15,25,16.6
40.0828,142.8757,44.0913,195.8854,30.8356,0.5023,93.497,198,15,25,16.6
39.8689,142.7871,36.3658,172.109,30.8356,4.6797,93.497,198,15,25,16.6
39.6549,142.6985,28.6404,148.3326,30.8356,7.3969,93.497,198,15,25,16.6
39.4409,142.6099,20.915,124.5561,30.8356,14.3014,93.497,198,15,25,16.6
39.2269,142.5213,13.1896,100.7797,30.8356,16.2649,93.497,198,15,25,16.6
39.013,142.4327,5.4641,77.0033,30.8356,17.5281,93.497,198,15,25,16.6
38.799,142.3441,-2.2613,53.2269,30.8356,8.6514,93.497,198,15,25,16.6
38.585,142.2554,-9.9867,29.4505,30.8356,6.8228,93.497,198,15,25,16.6
38.3711,142.1668,-17.7121,5.6741,30.8356,4.5314,93.497,198,15,25,16.6
38.1571,142.0782,-25.4376,-18.1023,30.8356,7.4396,93.497,198,15,25,16.6
37.9431,141.9896,-33.163,-41.8787,30.8356,9.7882,93.497,198,15,25,16.6
37.7292,141.901,-40.8884,-65.6552,30.8356,12.6815,93.497,198,15,25,16.6
37.5152,141.8124,-48.6138,-89.4316,30.8356,8.9893,93.497,198,15,25,16.6
37.3012,141.7238,-56.3393,-113.208,30.8356,2.8727,93.497,198,15,25,16.6
37.0872,141.6351,-64.0647,-136.9844,30.8356,3.4156,93.497,198,15,25,16.6
36.8733,141.5465,-71.7901,-160.7608,30.8356,3.5548,93.497,198,15,25,16.6
36.6593,141.4579,-79.5155,-184.5372,30.8356,2.2926,93.497,198,15,25,16.6
36.4453,141.3693,-87.241,-208.3136,30.8356,2.3002,93.497,198,15,25,16.6
36.2314,141.2807,-94.9664,-232.09,30.8356,0.79,93.497,198,15,25,16.6
36.0174,141.1921,-102.6918,-255.8665,30.8356,6.2977,93.497,198,15,25,16.6
35.8034,141.1035,-110.4172,-279.6429,30.8356,5.5175,93.497,198,15,25,16.6
35.5894,141.0148,-118.1427,-303.4193,30.8356,0.0107,93.497,198,15,25,16.6
40.3184,144.7647,208.7673,222.0641,2.1,0.283,93.497,198,8,25,16.6
40.1044,144.676,201.0419,198.2876,2.1,0.4255,93.497,198,8,25,16.6
39.8905,144.5874,193.3164,174.5112,2.1,3.1756,93.497,198,8,25,16.6
39.6765,144.4988,185.591,150.7348,2.1,3.5616,93.497,198,8,25,16.6
39.4625,144.4102,177.8656,126.9584,2.1,0.2398,93.497,198,8,25,16.6
39.2486,144.3216,170.1402,103.182,2.1,3.0822,93.497,198,8,25,16.6
39.0346,144.233,162.4147,79.4056,2.1,1.2531,93.497,198,8,25,16.6
38.8206,144.1444,154.6893,55.6292,2.1,4.3667,93.497,198,8,25,16.6
38.6067,144.0557,146.9639,31.8528,2.1,9.3316,93.497,198,8,25,16.6
38.3927,143.9671,139.2385,8.0763,2.1,13.2374,93.497,198,8,25,16.6
38.1787,143.8785,131.513,-15.7001,2.1,9.7068,93.497,198,8,25,16.6
37.9647,143.7899,123.7876,-39.4765,2.1,9.3146,93.497,198,8,25,16.6
37.7508,143.7013,116.0622,-63.2529,2.1,5.4817,93.497,198,8,25,16.6
37.5368,143.6127,108.3368,-87.0293,2.1,4.0354,93.497,198,8,25,16.6
