LAT,LON,X,Y,D,SLIP,RAKE,STRIKE,DIP,L,W 
40.004,144.1395,111.7924,211.1804,1.739,10.6994,81,193,8,50,25
40.0541,143.8636,87.6702,216.7494,5.2183,0.8396,81,193,8,50,25
40.0792,143.7114,74.3552,219.5343,7,1.3419,81,193,10,50,50
40.1791,143.1436,24.7072,230.6396,15.6,0.6515,81,193,12,50,50
40.279,142.5759,-24.9269,241.7366,26,0.8156,81,193,16,50,50
39.545,144.1208,110.1589,160.1745,1.739,20.4925,81,193,8,50,25
39.1065,143.9922,98.9113,111.456,1.739,36.079,81,193,8,50,25
38.6681,143.8636,87.6638,62.7375,1.739,30.647,81,193,8,50,25
38.2297,143.7349,76.4162,14.0189,1.739,51.8928,81,193,8,50,25
37.7912,143.6063,65.1687,-34.6996,1.739,69.1409,81,193,8,50,25
37.3528,143.4777,53.9211,-83.4181,1.739,31.7152,81,193,8,50,25
39.5951,143.845,86.0367,165.7435,5.2183,2.9818,81,193,8,50,25
39.1566,143.7163,74.7891,117.025,5.2183,13.7054,81,193,8,50,25
38.7182,143.5877,63.5416,68.3065,5.2183,22.4255,81,193,8,50,25
38.2798,143.4591,52.294,19.588,5.2183,37.3812,81,193,8,50,25
37.8413,143.3304,41.0465,-29.1305,5.2183,14.9323,81,193,8,50,25
37.4029,143.2018,29.7989,-77.849,5.2183,19.1271,81,193,8,50,25
39.6201,143.702,73.5408,168.5225,7,0.2252,81,193,10,50,50
39.1816,143.5734,62.2932,119.804,7,6.6532,81,193,10,50,50
38.7432,143.4448,51.0457,71.0855,7,16.8963,81,193,10,50,50
38.3048,143.3161,39.7981,22.3669,7,26.552,81,193,10,50,50
37.8664,143.1875,28.5506,-26.3516,7,24.6737,81,193,10,50,50
37.4279,143.0589,17.303,-75.0701,7,18.059,81,193,10,50,50
39.72,143.1468,24.9868,179.6278,15.6,1.0591,81,193,12,50,50
39.2816,143.0181,13.7392,130.9093,15.6,0,81,193,12,50,50
38.8432,142.8895,2.4917,82.1908,15.6,13.1436,81,193,12,50,50
38.4047,142.7609,-8.7559,33.4722,15.6,15.5484,81,193,12,50,50
37.9663,142.6322,-20.0034,-15.2463,15.6,21.5794,81,193,12,50,50
37.5279,142.5036,-31.251,-63.9648,15.6,10.8719,81,193,12,50,50
39.8199,142.5916,-23.5578,190.7247,26,0,81,193,16,50,50
39.3815,142.463,-34.8054,142.0062,26,0,81,193,16,50,50
38.943,142.3343,-46.0529,93.2877,26,2.8127,81,193,16,50,50
38.5046,142.2057,-57.3005,44.5691,26,2.4119,81,193,16,50,50
38.0662,142.0771,-68.548,-4.1494,26,14.2625,81,193,16,50,50
37.6277,141.9484,-79.7956,-52.8679,26,2.6744,81,193,16,50,50
36.9411,143.1983,29.4945,-129.168,1.739,22.45,81,193,8,50,25
36.9912,142.9224,5.3723,-123.599,5.2183,10.1082,81,193,8,50,25
37.0162,142.7881,-6.375,-120.8223,7,4.8285,81,193,10,50,50
37.1162,142.2442,-53.9312,-109.7059,15.6,10.5252,81,193,12,50,50
37.216,141.7004,-101.4803,-98.6202,26,4.4747,81,193,16,50,50
36.5361,142.8693,0.7255,-174.1715,1.739,0.7588,81,193,8,50,25
36.5862,142.5934,-23.3967,-168.6025,5.2183,0,81,193,8,50,25
36.6112,142.4614,-34.9439,-165.8254,7,0,81,193,10,50,50
36.7112,141.9204,-82.2463,-154.709,15.6,2.1222,81,193,12,50,50
36.811,141.3795,-129.5402,-143.6233,26,0,81,193,16,50,50
36.1311,142.5404,-28.0335,-219.175,1.739,4.3327,81,193,8,50,25
36.1812,142.2645,-52.1557,-213.606,5.2183,1.8269,81,193,8,50,25
36.2063,142.1345,-63.5278,-210.8174,7,0.606,81,193,10,50,50
36.3062,141.5964,-110.5765,-199.7121,15.6,0.0801,81,193,12,50,50
36.406,141.0583,-157.624,-188.6264,26,2.7514,81,193,16,50,50
35.7111,142.3054,-48.5829,-265.8452,1.739,5.9049,81,193,8,50,25
35.7612,142.0295,-72.7051,-260.2762,5.2183,2.5308,81,193,8,50,25
35.7863,141.9018,-83.8768,-257.4873,7,2.3491,81,193,10,50,50
35.8862,141.3665,-130.6804,-246.382,15.6,1.966,81,193,12,50,50
35.986,140.8313,-177.4729,-235.2964,26,2.5534,81,193,16,50,50
