LAT,LON,X,Y,D,SLIP,RAKE,STRIKE,DIP,L,W
39.4902,144.5477,142.6691,153.6961,-0.3703,13.3872,97.59,192,12,20,20
39.3141,144.5001,138.5109,134.1331,-0.3703,16.0602,107.68,192,12,20,20
39.138,144.4526,134.3526,114.5701,-0.3703,21.8169,127.27,192,12,20,20
38.962,144.405,130.1944,95.0072,-0.3703,25.4982,134.54,192,12,20,20
38.7859,144.3575,126.0362,75.4442,-0.3703,28.0807,135,192,12,20,20
38.6099,144.3099,121.8779,55.8813,-0.3703,38.4712,135,192,12,20,20
38.4338,144.2624,117.7197,36.3183,-0.3703,53.2619,127.22,192,12,20,20
38.2578,144.2148,113.5615,16.7554,-0.3703,67.1503,119.32,192,12,20,20
38.0817,144.1672,109.4032,-2.8076,-0.3703,70.3156,109.69,192,12,20,20
37.9057,144.1197,105.245,-22.3705,-0.3703,65.1686,105.58,192,12,20,20
37.7296,144.0721,101.0868,-41.9335,-0.3703,57.6049,105.72,192,12,20,20
37.5536,144.0246,96.9285,-61.4964,-0.3703,43.5109,107.27,192,12,20,20
37.3775,143.977,92.7703,-81.0594,-0.3703,23.9635,120.5,192,12,20,20
37.2015,143.9295,88.6121,-100.6223,-0.3703,10.7819,117.85,192,12,20,20
37.0254,143.8819,84.4538,-120.1853,-0.3703,14.9784,115.43,192,12,20,20
36.8494,143.8343,80.2956,-139.7482,-0.3703,21.7652,135,192,12,20,20
36.6733,143.7868,76.1374,-159.3112,-0.3703,21.5059,106.92,192,12,20,20
39.5268,144.3288,123.5336,157.7634,3.7879,5.8797,106.35,192,12,20,20
39.3507,144.2813,119.3754,138.2005,3.7879,7.8155,97.18,192,12,20,20
39.1747,144.2337,115.2172,118.6375,3.7879,10.1294,100.6,192,12,20,20
38.9986,144.1862,111.0589,99.0746,3.7879,12.1994,98.12,192,12,20,20
38.8225,144.1386,106.9007,79.5116,3.7879,16.7135,96.67,192,12,20,20
38.6465,144.0911,102.7425,59.9487,3.7879,28.1629,94.21,192,12,20,20
38.4704,144.0435,98.5842,40.3857,3.7879,42.7557,64.26,192,12,20,20
38.2944,143.9959,94.426,20.8228,3.7879,48.4992,45,192,12,20,20
38.1183,143.9484,90.2678,1.2598,3.7879,44.1371,67.71,192,12,20,20
37.9423,143.9008,86.1095,-18.3031,3.7879,37.7198,59.01,192,12,20,20
37.7662,143.8533,81.9513,-37.8661,3.7879,34.6628,62.76,192,12,20,20
37.5902,143.8057,77.7931,-57.4291,3.7879,30.368,71.01,192,12,20,20
37.4141,143.7582,73.6348,-76.992,3.7879,21.3741,74.29,192,12,20,20
37.2381,143.7106,69.4766,-96.555,3.7879,9.4725,96.95,192,12,20,20
37.062,143.663,65.3184,-116.1179,3.7879,6.5577,92.43,192,12,20,20
36.886,143.6155,61.1601,-135.6809,3.7879,11.1823,88.27,192,12,20,20
36.7099,143.5679,57.0019,-155.2438,3.7879,9.7195,81.42,192,12,20,20
39.5634,144.11,104.3982,161.8308,7.9462,3.9691,98.99,192,12,20,20
39.3873,144.0624,100.24,142.2678,7.9462,3.4711,85.36,192,12,20,20
39.2113,144.0149,96.0817,122.7049,7.9462,2.8496,58.01,192,12,20,20
39.0352,143.9673,91.9235,103.1419,7.9462,5.3808,62.03,192,12,20,20
38.8592,143.9198,87.7653,83.579,7.9462,13.9763,69.42,192,12,20,20
