LAT,LON,X,Y,D,SLIP,RAKE,STRIKE,DIP,L,W
39.43323,144.315475,144.36515,39.609,0,25,97.98,192,9,40,40
39.081645,144.216625,144.2658,39.25746,0,30,77.64,192,9,40,40
38.72997,144.11876,144.16745,38.90583,0,17.9,89.98,192,9,40,40
38.378215,144.021855,144.07007,38.55411,0,35,82.15,192,9,40,40
38.02639,143.92589,143.97364,38.20232,0,37,80,192,9,40,40
37.67449,143.830845,143.87814,37.85046,0,35,83.26,192,9,40,40
37.32251,143.736705,143.78355,37.49852,0,30,81.05,192,9,40,40
36.970455,143.643445,143.68986,37.1465,0,10,77.63,192,9,40,40
36.61833,143.55104,143.59703,36.79441,0,0,71.38,192,9,40,40
36.266135,143.45955,143.50505,36.44225,0,0,63.17,192,9,40,40
39.509435,143.87638,143.92611,39.68521,6.3,6,110.26,192,11,40,40
39.157845,143.77742,143.82665,39.33366,6.3,6,68.88,192,11,40,40
38.806175,143.67945,143.72819,38.98203,6.3,17,79.71,192,11,40,40
38.454425,143.582445,143.63071,38.63032,6.3,28,72.35,192,11,40,40
38.102595,143.48638,143.53418,38.27853,6.3,28,72.17,192,11,40,40
37.75069,143.39124,143.43858,37.92666,6.3,32,99.25,192,11,40,40
37.39871,143.297005,143.3439,37.57472,6.3,32,90.32,192,11,40,40
37.046655,143.20365,143.25011,37.2227,6.3,20,74.36,192,11,40,40
36.69453,143.11116,143.15719,36.87061,6.3,0,56.62,192,11,40,40
36.342335,143.01963,143.06513,36.51845,6.3,0,53.52,192,11,40,40
39.583525,143.43921,143.48899,39.7593,13.9,5,110.74,192,13,40,40
39.231935,143.340145,143.38943,39.40775,13.9,6,60.95,192,13,40,40
38.880265,143.24207,143.29086,39.05612,13.9,17,71.66,192,13,40,40
38.528515,143.144965,143.19328,38.70441,13.9,17,60.14,192,13,40,40
38.176685,143.048805,143.09665,38.35262,13.9,17.5,67.49,192,13,40,40
37.82478,142.95357,143.00096,38.00075,13.9,30,110.97,192,13,40,40
37.4728,142.859245,142.90618,37.64881,13.9,30,95.37,192,13,40,40
37.120745,142.76581,142.81231,37.29679,13.9,12,99.15,192,13,40,40
36.76862,142.673235,142.71931,36.9447,13.9,6,59.32,192,13,40,40
36.416425,142.58166,142.62716,36.59254,13.9,0,56.28,192,13,40,40
39.655355,143.005045,143.05488,39.83113,22.9,0.7,121.29,192,16,40,40
39.303765,142.905875,142.95521,39.47958,22.9,1.5,76.39,192,16,40,40
38.952095,142.8077,142.85654,39.12795,22.9,11,66.45,192,16,40,40
38.60035,142.7105,142.75886,38.77624,22.9,12,58.55,192,16,40,40
38.248525,142.61425,142.66214,38.42446,22.9,12.5,66.15,192,16,40,40
37.89662,142.51893,142.56636,38.07259,22.9,13,91.35,192,16,40,40
37.54464,142.42452,142.4715,37.72065,22.9,23,83.81,192,16,40,40
37.192585,142.331005,142.37754,37.36863,22.9,12,91.24,192,16,40,40
36.84046,142.23836,142.28447,37.01654,22.9,10,53.95,192,16,40,40
36.488265,142.14675,142.19225,36.66438,22.9,4,51.09,192,16,40,40
39.72488,142.574455,142.62434,39.90065,33.9,1.2,91.78,192,16,40,40
39.373295,142.475185,142.52457,39.54911,33.9,1.7,111.2,192,16,40,40
39.021625,142.37691,142.4258,39.19748,33.9,5.7,82.23,192,16,40,40
38.669875,142.27961,142.32802,38.84577,33.9,7.2,67.09,192,16,40,40
38.318045,142.183265,142.2312,38.49398,33.9,4.9,71.67,192,16,40,40
37.96614,142.087855,142.13533,38.14211,33.9,10,84.76,192,16,40,40
37.61416,141.993355,142.04038,37.79017,33.9,10,91.33,192,16,40,40
37.262105,141.89975,141.94633,37.43815,33.9,6,81.17,192,16,40,40
36.90998,141.80702,141.85317,37.08606,33.9,12,54.16,192,16,40,40
36.557785,141.71537,141.76087,36.7339,33.9,8,51.54,192,16,40,40
39.79257,142.144775,142.19471,39.96834,44.9,1.2,100.22,192,19,40,40
39.440985,142.04541,142.09484,39.6168,44.9,0.5,112.66,192,19,40,40
39.089315,141.947045,141.99598,39.26517,44.9,4,120.09,192,19,40,40
38.737565,141.84966,141.89811,38.91346,44.9,0.9,98.46,192,19,40,40
38.38574,141.753235,141.80121,38.56167,44.9,1,91.55,192,19,40,40
38.033835,141.657745,141.70526,38.20981,44.9,1,94.93,192,19,40,40
37.681855,141.563165,141.61023,37.85786,44.9,0.5,88.14,192,19,40,40
37.3298,141.469485,141.5161,37.50585,44.9,6,56.88,192,19,40,40
36.97767,141.376685,141.42287,37.15375,44.9,8,48.19,192,19,40,40
36.625475,141.285,141.3305,36.80159,44.9,6,75.4,192,19,40,40
