LAT,LON,X,Y,D,SLIP,RAKE,STRIKE,DIP,L,W
39.52112,144.34025,144.36515,39.609,0,12.3,97.98,192,9,20,20
39.34535,144.290575,144.31535,39.43324,0,25.4,97.98,192,9,20,20
39.169555,144.24115,144.2658,39.25746,0,35.4,77.64,192,9,20,20
38.99374,144.191975,144.2165,39.08165,0,29,77.64,192,9,20,20
38.817905,144.143045,144.16745,38.90583,0,14.6,89.98,192,9,20,20
38.642045,144.094355,144.11864,38.72998,0,16.9,89.98,192,9,20,20
38.46617,144.045905,144.07007,38.55411,0,21.5,82.15,192,9,20,20
38.290275,143.99769,144.02174,38.37823,0,24.6,82.15,192,9,20,20
38.11436,143.94971,143.97364,38.20232,0,22.6,80,192,9,20,20
37.93843,143.90196,143.92578,38.0264,0,21,80,192,9,20,20
37.76248,143.85444,143.87814,37.85046,0,22.5,83.26,192,9,20,20
37.58651,143.807145,143.83074,37.6745,0,24.4,83.26,192,9,20,20
37.41052,143.760075,143.78355,37.49852,0,27.6,81.05,192,9,20,20
37.23451,143.71323,143.7366,37.32252,0,21.7,81.05,192,9,20,20
37.05848,143.666595,143.68986,37.1465,0,8.2,77.63,192,9,20,20
36.882435,143.62018,143.64333,36.97046,0,3,77.63,192,9,20,20
36.706375,143.57398,143.59703,36.79441,0,0,71.38,192,9,20,20
36.530295,143.52799,143.55093,36.61834,0,0,71.38,192,9,20,20
36.3542,143.482215,143.50505,36.44225,0,0,63.17,192,9,20,20
36.17795,143.43665,143.45938,36.26615,0,0,63.17,192,9,20,20
39.55949,144.120505,144.14542,39.64737,3.1,25.8,97.98,192,9,20,20
39.383715,144.0708,144.09559,39.47161,3.1,36.5,97.98,192,9,20,20
39.20792,144.021345,144.04601,39.29582,3.1,32.4,77.64,192,9,20,20
39.032105,143.97214,143.99668,39.12002,3.1,21,77.64,192,9,20,20
38.85627,143.923185,143.9476,38.94419,3.1,14.9,89.98,192,9,20,20
38.680415,143.87447,143.89877,38.76835,3.1,26.8,89.98,192,9,20,20
38.504535,143.82599,143.85017,38.59248,3.1,41.6,82.15,192,9,20,20
38.32864,143.77775,143.80181,38.41659,3.1,54.5,82.15,192,9,20,20
38.15273,143.729745,143.75369,38.24069,3.1,55.9,80,192,9,20,20
37.976795,143.68197,143.7058,38.06477,3.1,51.4,80,192,9,20,20
37.80084,143.634425,143.65814,37.88882,3.1,49.3,83.26,192,9,20,20
37.62487,143.587105,143.61071,37.71286,3.1,45.7,83.26,192,9,20,20
37.44888,143.54001,143.5635,37.53688,3.1,41.4,81.05,192,9,20,20
37.27287,143.493135,143.51652,37.36088,3.1,29.4,81.05,192,9,20,20
37.096845,143.44648,143.46975,37.18486,3.1,16.9,77.63,192,9,20,20
36.920805,143.400045,143.42321,37.00883,3.1,13.9,77.63,192,9,20,20
36.744745,143.353825,143.37688,36.83278,3.1,2,71.38,192,9,20,20
36.568665,143.307815,143.33077,36.65671,3.1,2.8,71.38,192,9,20,20
36.392565,143.262015,143.28486,36.48062,3.1,2.8,63.17,192,9,20,20
36.21631,143.216435,143.23917,36.30451,3.1,3.8,63.17,192,9,20,20
39.597325,143.901185,143.92611,39.68521,6.3,5.8,110.26,192,11,20,20
39.42155,143.851455,143.87626,39.50944,6.3,7.8,110.26,192,11,20,20
39.245755,143.801975,143.82665,39.33366,6.3,6.4,68.88,192,11,20,20
39.06994,143.752745,143.7773,39.15785,6.3,6.3,68.88,192,11,20,20
38.894105,143.70376,143.72819,38.98203,6.3,10.9,79.71,192,11,20,20
38.71825,143.65502,143.67933,38.80618,6.3,19.1,79.71,192,11,20,20
38.542375,143.60652,143.63071,38.63032,6.3,27.6,72.35,192,11,20,20
38.36648,143.558255,143.58233,38.45443,6.3,28.7,72.35,192,11,20,20
38.190565,143.51022,143.53418,38.27853,6.3,28.2,72.17,192,11,20,20
38.01463,143.46242,143.48626,38.1026,6.3,26.7,72.17,192,11,20,20
37.83868,143.414855,143.43858,37.92666,6.3,28,99.25,192,11,20,20
37.66271,143.367515,143.39113,37.7507,6.3,32,99.25,192,11,20,20
37.48672,143.320395,143.3439,37.57472,6.3,31.2,90.32,192,11,20,20
37.31071,143.2735,143.29689,37.39872,6.3,25.3,90.32,192,11,20,20
37.134685,143.226825,143.25011,37.2227,6.3,21.4,74.36,192,11,20,20
36.95864,143.180365,143.20354,37.04667,6.3,16.6,74.36,192,11,20,20
36.782575,143.134125,143.15719,36.87061,6.3,0.9,56.62,192,11,20,20
36.606495,143.088095,143.11106,36.69454,6.3,0.1,56.62,192,11,20,20
36.4304,143.042275,143.06513,36.51845,6.3,0.2,53.52,192,11,20,20
36.25415,142.996675,143.01942,36.34235,6.3,0.6,53.52,192,11,20,20
39.63464,143.68233,143.70727,39.72252,10.1,5.6,110.26,192,11,20,20
39.458865,143.63257,143.65739,39.54676,10.1,5.4,110.26,192,11,20,20
39.28307,143.58306,143.60775,39.37097,10.1,3.8,68.88,192,11,20,20
39.107255,143.533805,143.55837,39.19517,10.1,7.9,68.88,192,11,20,20
38.93142,143.484795,143.50924,39.01934,10.1,15.1,79.71,192,11,20,20
38.755565,143.436025,143.46035,38.8435,10.1,23.8,79.71,192,11,20,20
38.57969,143.387495,143.4117,38.66763,10.1,29.6,72.35,192,11,20,20
38.403795,143.339205,143.36329,38.49175,10.1,26.5,72.35,192,11,20,20
38.22788,143.29115,143.31512,38.31584,10.1,27.9,72.17,192,11,20,20
38.05195,143.243325,143.26718,38.13992,10.1,29.3,72.17,192,11,20,20
37.876,143.195735,143.21947,37.96398,10.1,30.2,99.25,192,11,20,20
37.70003,143.14837,143.172,37.78802,10.1,37,99.25,192,11,20,20
37.52404,143.10123,143.12474,37.61204,10.1,40.7,90.32,192,11,20,20
37.34803,143.054315,143.07772,37.43604,10.1,30.2,90.32,192,11,20,20
37.172,143.007615,143.03091,37.26002,10.1,23.6,74.36,192,11,20,20
36.995955,142.961135,142.98432,37.08398,10.1,17.3,74.36,192,11,20,20
36.819895,142.91487,142.93795,36.90793,10.1,1.9,56.62,192,11,20,20
36.643815,142.868815,142.89179,36.73186,10.1,0.6,56.62,192,11,20,20
36.467715,142.822975,142.84584,36.55577,10.1,0.5,53.52,192,11,20,20
36.29146,142.777355,142.80011,36.37966,10.1,1.9,53.52,192,11,20,20
39.671415,143.464035,143.48899,39.7593,13.9,5.5,110.74,192,13,20,20
39.49564,143.414255,143.43908,39.58353,13.9,6,110.74,192,13,20,20
39.319845,143.364725,143.38943,39.40775,13.9,4.5,60.95,192,13,20,20
39.14403,143.31544,143.34002,39.23194,13.9,8.7,60.95,192,13,20,20
38.968195,143.266405,143.29086,39.05612,13.9,15,71.66,192,13,20,20
38.79234,143.217615,143.24195,38.88027,13.9,19.4,71.66,192,13,20,20
38.616465,143.16906,143.19328,38.70441,13.9,18.7,60.14,192,13,20,20
38.44057,143.120745,143.14484,38.52852,13.9,15.4,60.14,192,13,20,20
38.26466,143.07267,143.09665,38.35262,13.9,13.7,67.49,192,13,20,20
38.088725,143.024825,143.04869,38.1767,13.9,15.1,67.49,192,13,20,20
37.91277,142.97721,143.00096,38.00075,13.9,25.4,110.97,192,13,20,20
37.7368,142.92982,142.95346,37.82479,13.9,33.9,110.97,192,13,20,20
37.56081,142.882655,142.90618,37.64881,13.9,35.6,95.37,192,13,20,20
37.3848,142.83572,142.85913,37.47281,13.9,25.1,95.37,192,13,20,20
37.208775,142.789005,142.81231,37.29679,13.9,15.6,99.15,192,13,20,20
37.03273,142.742505,142.7657,37.12076,13.9,10.5,99.15,192,13,20,20
36.856665,142.69622,142.71931,36.9447,13.9,6.2,59.32,192,13,20,20
36.680585,142.650145,142.67313,36.76863,13.9,4,59.32,192,13,20,20
36.50449,142.604285,142.62716,36.59254,13.9,0.1,56.28,192,13,20,20
36.32824,142.558645,142.58141,36.41644,13.9,1,56.28,192,13,20,20
39.70765,143.24636,143.27133,39.79553,18.4,4.1,110.74,192,13,20,20
39.531875,143.19655,143.22139,39.61977,18.4,4.2,110.74,192,13,20,20
39.35608,143.14699,143.17171,39.44398,18.4,3.4,60.95,192,13,20,20
39.18027,143.09768,143.12227,39.26818,18.4,8.3,60.95,192,13,20,20
39.004435,143.04862,143.07309,39.09236,18.4,15.2,71.66,192,13,20,20
38.828575,142.9998,143.02415,38.91651,18.4,19.2,71.66,192,13,20,20
38.6527,142.95122,142.97545,38.74064,18.4,18.2,60.14,192,13,20,20
38.47681,142.90288,142.92699,38.56476,18.4,17,60.14,192,13,20,20
38.300895,142.85478,142.87877,38.38886,18.4,19.9,67.49,192,13,20,20
38.12496,142.80691,142.83079,38.21293,18.4,22.2,67.49,192,13,20,20
37.94901,142.75927,142.78303,38.03699,18.4,26.3,110.97,192,13,20,20
37.77304,142.71186,142.73551,37.86103,18.4,33.3,110.97,192,13,20,20
37.59705,142.664675,142.68821,37.68505,18.4,34.6,95.37,192,13,20,20
37.42104,142.617715,142.64114,37.50905,18.4,24.1,95.37,192,13,20,20
37.24501,142.570975,142.59429,37.33303,18.4,13.7,99.15,192,13,20,20
37.068965,142.52445,142.54766,37.15699,18.4,8.1,99.15,192,13,20,20
36.892905,142.478145,142.50124,36.98094,18.4,7.8,59.32,192,13,20,20
36.716825,142.432055,142.45505,36.80487,18.4,6.2,59.32,192,13,20,20
36.540725,142.386175,142.40906,36.62878,18.4,0,56.28,192,13,20,20
36.36447,142.340515,142.36329,36.45267,18.4,0.8,56.28,192,13,20,20
39.74325,143.0299,143.05488,39.83113,22.9,1.1,121.29,192,16,20,20
39.567475,142.980065,143.00492,39.65537,22.9,0.3,121.29,192,16,20,20
39.39168,142.93048,142.95521,39.47958,22.9,0.6,76.39,192,16,20,20
39.215865,142.881145,142.90575,39.30378,22.9,4.4,76.39,192,16,20,20
39.04003,142.83206,142.85654,39.12795,22.9,10.2,66.45,192,16,20,20
38.864175,142.78322,142.80758,38.95211,22.9,14.8,66.45,192,16,20,20
38.6883,142.73462,142.75886,38.77624,22.9,14.4,58.55,192,16,20,20
38.51241,142.68626,142.71038,38.60036,22.9,12.7,58.55,192,16,20,20
38.336495,142.63814,142.66214,38.42446,22.9,17.1,66.15,192,16,20,20
38.16056,142.59025,142.61414,38.24853,22.9,20.5,66.15,192,16,20,20
37.98461,142.54259,142.56636,38.07259,22.9,16.4,91.35,192,16,20,20
37.80864,142.49516,142.51882,37.89663,22.9,18.4,91.35,192,16,20,20
37.63265,142.447955,142.4715,37.72065,22.9,27.1,83.81,192,16,20,20
37.45664,142.400975,142.42441,37.54465,22.9,22.4,83.81,192,16,20,20
37.28061,142.35422,142.37754,37.36863,22.9,14.6,91.24,192,16,20,20
37.104565,142.307685,142.3309,37.19259,22.9,9.5,91.24,192,16,20,20
36.928505,142.26136,142.28447,37.01654,22.9,8.6,53.95,192,16,20,20
