LAT,LON,X,Y,D,SLIP,RAKE,STRIKE,DIP,L,W
38.505,144.4031,130.0225,44.2243,7.589,3.9485,90,202,5.7999,30,30
38.2547,144.2745,118.7843,16.4087,7.589,24.3865,90,202,5.7999,30,30
38.0043,144.146,107.5461,-11.4068,7.589,43.5455,90,202,5.7999,30,30
37.754,144.0175,96.3079,-39.2223,7.589,58.024,90,202,5.7999,30,30
37.5037,143.8889,85.0697,-67.0378,7.589,50.7225,90,202,5.7999,30,30
37.2534,143.7604,73.8315,-94.8533,7.589,19.5295,90,202,5.7999,30,30
37.0031,143.6319,62.5933,-122.6688,7.589,0,90,202,5.7999,30,30
36.7527,143.5033,51.3551,-150.4844,7.589,0,90,202,5.7999,30,30
36.5024,143.3748,40.1169,-178.2999,7.589,0,90,202,5.7999,30,30
36.2521,143.2463,28.8787,-206.1154,7.589,0,90,202,5.7999,30,30
36.0018,143.1178,17.6405,-233.9309,7.589,0,90,202,5.7999,30,30
35.7515,142.9892,6.4023,-261.7464,7.589,0.835,90,202,5.7999,30,30
35.5012,142.8607,-4.8359,-289.5619,7.589,2.8215,90,202,5.7999,30,30
35.2508,142.7322,-16.0741,-317.3775,7.589,0,90,202,5.7999,30,30
38.6066,144.0923,102.8544,55.5109,10.621,5.122,90,202,5.7999,30,30
38.3562,143.9638,91.6162,27.6953,10.621,23.745,90,202,5.7999,30,30
38.1059,143.8353,80.378,-0.1202,10.621,39.847,90,202,5.7999,30,30
37.8556,143.7067,69.1398,-27.9357,10.621,50.514,90,202,5.7999,30,30
37.6053,143.5782,57.9016,-55.7512,10.621,57.084,90,202,5.7999,30,30
37.355,143.4497,46.6634,-83.5667,10.621,43.394,90,202,5.7999,30,30
37.1046,143.3212,35.4252,-111.3822,10.621,16.014,90,202,5.7999,30,30
36.8543,143.1926,24.187,-139.1978,10.621,0.39,90,202,5.7999,30,30
36.604,143.0641,12.9488,-167.0133,10.621,0,90,202,5.7999,30,30
36.3537,142.9356,1.7106,-194.8288,10.621,0,90,202,5.7999,30,30
36.1034,142.807,-9.5276,-222.6443,10.621,0,90,202,5.7999,30,30
35.853,142.6785,-20.7658,-250.4598,10.621,1.057,90,202,5.7999,30,30
35.6027,142.55,-32.004,-278.2753,10.621,1.227,90,202,5.7999,30,30
35.3524,142.4214,-43.2422,-306.0909,10.621,0,90,202,5.7999,30,30
38.7073,143.7803,75.569,66.7007,13.504,4.628,90,202,8.3,30,30
38.4569,143.6517,64.3308,38.8851,13.504,21.745,90,202,8.3,30,30
