str,dip,dep,pid,lat,lon,rak
188.36984,6.49198,-12.50660,"0",37.980,143.654,"90"
189.37044,7.35898,-15.12951,"1",37.980,143.404,"90"
190.14026,8.49224,-18.12436,"2",37.980,143.154,"90"
190.82130,9.85482,-21.59772,"3",37.980,142.904,"90"
192.27521,8.07919,-15.99193,"4",39.480,143.654,"90"
191.98065,9.28117,-19.18362,"5",39.480,143.404,"90"
197.74391,5.63724,-12.33868,"6",36.980,143.404,"90"
199.47595,6.58926,-14.58236,"7",36.980,143.154,"90"
200.51952,7.74941,-17.20033,"8",36.980,142.904,"90"
203.42113,15.29540,-39.90895,"9",36.730,141.404,"90"
202.58580,16.54513,-45.75829,"10",36.730,141.154,"90"
201.91039,14.35293,-37.32595,"11",36.980,141.654,"90"
191.60330,10.79911,-22.89113,"12",39.480,143.154,"90"
201.68098,15.64475,-42.84933,"13",36.980,141.404,"90"
201.21938,9.02333,-20.25537,"14",36.980,142.654,"90"
201.69000,10.35040,-23.78070,"15",36.980,142.404,"90"
201.95520,11.69642,-27.79488,"16",36.980,142.154,"90"
202.02214,13.03644,-32.30835,"17",36.980,141.904,"90"
197.31573,8.30608,-18.46678,"18",37.230,142.904,"90"
198.12648,9.59717,-21.78456,"19",37.230,142.654,"90"
198.81155,10.92186,-25.58252,"20",37.230,142.404,"90"
199.35902,12.24784,-29.86913,"21",37.230,142.154,"90"
194.82007,6.13362,-13.13889,"22",37.230,143.404,"90"
196.30707,7.11495,-15.60463,"23",37.230,143.154,"90"
190.76457,5.79560,-11.52870,"24",37.480,143.654,"90"
192.44920,6.58439,-13.86652,"25",37.480,143.404,"90"
199.75964,13.55836,-34.64597,"26",37.230,141.904,"90"
189.96178,14.52971,-33.98584,"27",38.730,142.404,"90"
200.02560,14.85266,-39.91314,"28",37.230,141.654,"90"
190.58054,16.05916,-39.82344,"29",38.730,142.154,"90"
216.44456,12.47320,-23.61283,"30",36.230,141.904,"90"
188.90915,8.33130,-16.87871,"31",38.730,143.404,"90"
212.85225,14.31055,-28.00332,"32",36.230,141.654,"90"
189.03758,9.64729,-20.25377,"33",38.730,143.154,"90"
209.06851,15.77170,-33.19295,"34",36.230,141.404,"90"
189.18227,11.23501,-24.19268,"35",38.730,142.904,"90"
206.56699,16.64673,-38.97992,"36",36.230,141.154,"90"
189.48265,12.90377,-28.76707,"37",38.730,142.654,"90"
189.80875,7.59223,-14.52063,"38",38.980,143.654,"90"
220.90913,7.68065,-14.39241,"39",36.230,142.654,"90"
189.68239,8.63018,-17.54607,"40",38.980,143.404,"90"
219.77457,9.18738,-16.92656,"41",36.230,142.404,"90"
189.57780,10.01483,-21.03016,"42",38.980,143.154,"90"
218.59882,10.73467,-19.97425,"43",36.230,142.154,"90"
189.52193,11.66839,-25.10463,"44",38.980,142.904,"90"
211.85086,6.69474,-14.21931,"45",36.480,142.904,"90"
211.98065,8.03454,-16.66589,"46",36.480,142.654,"90"
211.63747,9.44352,-19.58317,"47",36.480,142.404,"90"
190.26591,6.58074,-11.86749,"48",38.980,143.904,"90"
204.24889,16.40569,-42.50613,"49",36.480,141.154,"90"
189.60849,13.39790,-29.84079,"50",38.980,142.654,"90"
189.85526,15.07440,-35.24661,"51",38.980,142.404,"90"
211.07396,10.89923,-23.00415,"52",36.480,142.154,"90"
190.20694,12.09726,-26.10401,"53",39.230,142.904,"90"
209.99481,12.42972,-26.97313,"54",36.480,141.904,"90"
190.06320,13.86281,-30.98945,"55",39.230,142.654,"90"
208.13445,13.95504,-31.55264,"56",36.480,141.654,"90"
205.95924,15.28855,-36.75438,"57",36.480,141.404,"90"
205.50771,9.82500,-21.81498,"58",36.730,142.404,"90"
205.41687,11.21194,-25.54738,"59",36.730,142.154,"90"
191.11992,7.81747,-15.20375,"60",39.230,143.654,"90"
205.03935,12.61499,-29.79746,"61",36.730,141.904,"90"
190.75104,8.93537,-18.30636,"62",39.230,143.404,"90"
204.32413,13.99210,-34.58403,"63",36.730,141.654,"90"
190.45615,10.39307,-21.89818,"64",39.230,143.154,"90"
203.76814,6.04266,-13.45800,"65",36.730,143.154,"90"
204.84091,7.19318,-15.80615,"66",36.730,142.904,"90"
205.35023,8.47453,-18.57730,"67",36.730,142.654,"90"
187.20044,5.81857,-10.55857,"68",38.230,143.904,"90"
187.91257,6.79505,-12.96246,"69",38.230,143.654,"90"
188.68845,7.70033,-15.70297,"70",38.230,143.404,"90"
189.25226,8.89437,-18.83642,"71",38.230,143.154,"90"
193.08182,16.13147,-42.72254,"72",38.230,141.904,"90"
210.51915,15.88557,-25.00040,"73",35.730,141.404,"90"
189.77170,10.33205,-22.47781,"74",38.230,142.904,"90"
190.41942,11.84666,-26.69008,"75",38.230,142.654,"90"
191.22147,13.33631,-31.48170,"76",38.230,142.404,"90"
192.13190,14.76275,-36.83411,"77",38.230,142.154,"90"
188.90605,9.27698,-19.53439,"78",38.480,143.154,"90"
222.86513,8.38274,-13.36892,"79",35.730,142.154,"90"
189.24536,10.79117,-23.33000,"80",38.480,142.904,"90"
218.89200,10.44769,-16.17011,"81",35.730,141.904,"90"
189.73546,12.38506,-27.72992,"82",38.480,142.654,"90"
213.77524,13.28816,-19.97923,"83",35.730,141.654,"90"
