Site,Event,G,Rsquared,MSE,L2Norm
Rikuzentakata,FUJI2011_42,0.028,0.842,3.774,706.438
Rikuzentakata,SANRIKU1896,0.147,0.683,0.051,33.559
Rikuzentakata,SANRIKU1933,0.246,0.102,0.474,61.982
Rikuzentakata,TOKACHI1968,0.464,0.461,0.105,37.078
Rikuzentakata,YAMAZAKI2018_TPMOD,0.017,0.918,1.213,511.5
Ishinomaki,FUJI2011_42,0.285,0.262,3.712,747.957
Ishinomaki,SANRIKU1896,0.275,-0.684,0.001,6.475
Ishinomaki,SANRIKU1933,0.097,0.691,0.003,24.125
Ishinomaki,TOKACHI1968,0.161,0.48,0.001,9.82
Ishinomaki,YAMAZAKI2018_TPMOD,0.041,0.896,0.158,337.745
Sendai,FUJI2011_42,0.153,0.429,2.575,1233.79
Sendai,SANRIKU1896,0.178,0.688,0.004,39.573
Sendai,SANRIKU1933,0.06,0.879,0.004,61.973
Sendai,TOKACHI1968,0.105,0.679,0.001,14.827
Sendai,YAMAZAKI2018_TPMOD,0.166,0.528,2.256,1108.09
